"time
References : ['TRAN.OUT']
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real","TRAN.OUT
References : []
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real"
3.286 nsec,4.184 fV
3.291 nsec,2.228 fV
3.296 nsec,-189.0 aV
3.301 nsec,-2.818 fV
3.306 nsec,-5.546 fV
3.311 nsec,-8.573 fV
3.316 nsec,-11.30 fV
3.321 nsec,-13.59 fV
3.326 nsec,-15.14 fV
3.331 nsec,-16.80 fV
3.336 nsec,-18.94 fV
3.341 nsec,-21.20 fV
3.346 nsec,-23.24 fV
3.351 nsec,-24.38 fV
3.356 nsec,-24.83 fV
3.361 nsec,-25.39 fV
3.366 nsec,-26.01 fV
3.371 nsec,-26.53 fV
3.376 nsec,-26.77 fV
3.381 nsec,-26.48 fV
3.386 nsec,-25.90 fV
3.391 nsec,-25.11 fV
3.396 nsec,-24.02 fV
3.401 nsec,-23.43 fV
3.406 nsec,-23.05 fV
3.411 nsec,-21.79 fV
3.416 nsec,-19.14 fV
3.421 nsec,-16.27 fV
3.426 nsec,-14.16 fV
3.431 nsec,-12.31 fV
3.436 nsec,-10.10 fV
3.441 nsec,-7.809 fV
3.446 nsec,-5.505 fV
3.451 nsec,-3.015 fV
3.456 nsec,-816.3 aV
3.461 nsec,959.3 aV
3.466 nsec,2.554 fV
3.471 nsec,3.946 fV
3.476 nsec,5.433 fV
3.481 nsec,6.986 fV
3.486 nsec,9.132 fV
3.491 nsec,10.90 fV
3.496 nsec,12.01 fV
3.501 nsec,12.59 fV
3.506 nsec,13.31 fV
3.511 nsec,14.41 fV
3.516 nsec,15.27 fV
3.521 nsec,15.70 fV
3.526 nsec,15.64 fV
3.531 nsec,14.79 fV
3.536 nsec,14.01 fV
3.541 nsec,13.90 fV
3.546 nsec,13.74 fV
3.551 nsec,12.93 fV
3.556 nsec,12.81 fV
3.561 nsec,12.83 fV
3.566 nsec,12.48 fV
3.571 nsec,11.88 fV
3.576 nsec,11.76 fV
3.581 nsec,11.75 fV
3.586 nsec,11.56 fV
3.591 nsec,11.04 fV
3.596 nsec,10.50 fV
3.601 nsec,10.30 fV
3.606 nsec,10.26 fV
3.611 nsec,9.752 fV
3.616 nsec,9.204 fV
3.621 nsec,8.672 fV
3.626 nsec,7.818 fV
3.631 nsec,6.553 fV
3.636 nsec,4.888 fV
3.641 nsec,3.243 fV
3.646 nsec,1.408 fV
3.651 nsec,-984.8 aV
3.656 nsec,-2.872 fV
3.661 nsec,-4.293 fV
3.666 nsec,-6.304 fV
3.671 nsec,-9.180 fV
3.676 nsec,-12.32 fV
3.681 nsec,-15.42 fV
3.686 nsec,-17.87 fV
3.691 nsec,-19.96 fV
3.696 nsec,-22.11 fV
3.701 nsec,-24.35 fV
3.706 nsec,-26.18 fV
3.711 nsec,-27.76 fV
3.716 nsec,-29.38 fV
3.721 nsec,-30.77 fV
3.726 nsec,-31.02 fV
3.731 nsec,-30.56 fV
3.736 nsec,-30.00 fV
3.741 nsec,-28.88 fV
3.746 nsec,-27.68 fV
3.751 nsec,-26.63 fV
3.756 nsec,-25.44 fV
3.761 nsec,-23.72 fV
3.766 nsec,-21.34 fV
3.771 nsec,-18.96 fV
3.776 nsec,-16.73 fV
3.781 nsec,-14.36 fV
3.786 nsec,-11.73 fV
3.791 nsec,-9.237 fV
3.796 nsec,-7.307 fV
3.801 nsec,-5.198 fV
3.806 nsec,-2.597 fV
3.811 nsec,367.6 aV
3.816 nsec,4.146 fV
3.821 nsec,7.382 fV
3.826 nsec,9.493 fV
3.831 nsec,11.98 fV
3.836 nsec,14.81 fV
3.841 nsec,17.16 fV
3.846 nsec,18.82 fV
3.851 nsec,19.84 fV
3.856 nsec,20.50 fV
3.861 nsec,21.58 fV
3.866 nsec,23.05 fV
3.871 nsec,24.53 fV
3.876 nsec,25.32 fV
3.881 nsec,25.09 fV
3.886 nsec,24.50 fV
3.891 nsec,24.61 fV
3.896 nsec,24.98 fV
3.901 nsec,24.85 fV
3.906 nsec,24.25 fV
3.911 nsec,23.80 fV
3.916 nsec,23.40 fV
3.921 nsec,22.60 fV
3.926 nsec,21.14 fV
3.931 nsec,19.41 fV
3.936 nsec,17.66 fV
3.941 nsec,15.99 fV
3.946 nsec,14.27 fV
3.951 nsec,12.08 fV
3.956 nsec,9.635 fV
3.961 nsec,7.311 fV
3.966 nsec,5.311 fV
3.971 nsec,3.111 fV
3.976 nsec,225.8 aV
3.981 nsec,-3.140 fV
3.986 nsec,-6.565 fV
3.991 nsec,-10.22 fV
3.996 nsec,-13.51 fV
4.001 nsec,-16.28 fV
4.006 nsec,-19.23 fV
4.011 nsec,-22.32 fV
4.016 nsec,-24.57 fV
4.021 nsec,-26.72 fV
4.026 nsec,-28.99 fV
4.031 nsec,-30.62 fV
4.036 nsec,-31.66 fV
4.041 nsec,-32.58 fV
4.046 nsec,-33.54 fV
4.051 nsec,-34.43 fV
4.056 nsec,-34.95 fV
4.061 nsec,-35.68 fV
4.066 nsec,-36.46 fV
4.071 nsec,-36.88 fV
4.076 nsec,-37.54 fV
4.081 nsec,-38.34 fV
4.086 nsec,-38.56 fV
4.091 nsec,-37.26 fV
4.096 nsec,-34.89 fV
4.101 nsec,-32.65 fV
4.106 nsec,-30.49 fV
4.111 nsec,-27.71 fV
