"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.231 GHz,-60.082
1.231 GHz,-60.099
1.232 GHz,-60.116
1.232 GHz,-60.133
1.232 GHz,-60.150
1.233 GHz,-60.167
1.233 GHz,-60.184
1.233 GHz,-60.202
1.233 GHz,-60.219
1.234 GHz,-60.236
1.234 GHz,-60.253
1.234 GHz,-60.270
1.235 GHz,-60.287
1.235 GHz,-60.304
1.235 GHz,-60.322
1.235 GHz,-60.339
1.236 GHz,-60.356
1.236 GHz,-60.373
1.236 GHz,-60.390
1.237 GHz,-60.407
1.237 GHz,-60.424
1.237 GHz,-60.441
1.237 GHz,-60.459
1.238 GHz,-60.476
1.238 GHz,-60.493
1.238 GHz,-60.510
1.238 GHz,-60.527
1.239 GHz,-60.544
1.239 GHz,-60.561
1.239 GHz,-60.578
1.240 GHz,-60.596
1.240 GHz,-60.613
1.240 GHz,-60.627
1.240 GHz,-60.639
1.241 GHz,-60.651
1.241 GHz,-60.664
1.241 GHz,-60.676
1.242 GHz,-60.688
1.242 GHz,-60.701
1.242 GHz,-60.713
1.242 GHz,-60.725
1.243 GHz,-60.738
1.243 GHz,-60.750
1.243 GHz,-60.762
1.244 GHz,-60.775
1.244 GHz,-60.787
1.244 GHz,-60.799
1.244 GHz,-60.812
1.245 GHz,-60.824
1.245 GHz,-60.836
1.245 GHz,-60.849
1.246 GHz,-60.861
1.246 GHz,-60.873
1.246 GHz,-60.886
1.246 GHz,-60.898
1.247 GHz,-60.910
1.247 GHz,-60.923
1.247 GHz,-60.935
1.248 GHz,-60.947
1.248 GHz,-60.960
1.248 GHz,-60.972
1.248 GHz,-60.984
1.249 GHz,-60.997
1.249 GHz,-61.009
1.249 GHz,-61.021
1.249 GHz,-61.034
1.250 GHz,-61.046
1.250 GHz,-61.059
1.250 GHz,-61.072
1.251 GHz,-61.086
1.251 GHz,-61.100
1.251 GHz,-61.114
1.251 GHz,-61.127
1.252 GHz,-61.141
1.252 GHz,-61.155
1.252 GHz,-61.168
1.253 GHz,-61.182
1.253 GHz,-61.196
1.253 GHz,-61.210
1.253 GHz,-61.223
1.254 GHz,-61.237
1.254 GHz,-61.251
1.254 GHz,-61.265
1.255 GHz,-61.278
1.255 GHz,-61.292
1.255 GHz,-61.306
1.255 GHz,-61.319
1.256 GHz,-61.333
1.256 GHz,-61.347
1.256 GHz,-61.361
1.256 GHz,-61.374
1.257 GHz,-61.388
1.257 GHz,-61.402
1.257 GHz,-61.416
1.258 GHz,-61.429
1.258 GHz,-61.443
1.258 GHz,-61.457
1.258 GHz,-61.470
1.259 GHz,-61.484
1.259 GHz,-61.498
1.259 GHz,-61.512
1.260 GHz,-61.525
1.260 GHz,-61.539
1.260 GHz,-61.553
1.260 GHz,-61.568
1.261 GHz,-61.582
1.261 GHz,-61.597
1.261 GHz,-61.612
1.262 GHz,-61.626
1.262 GHz,-61.641
1.262 GHz,-61.655
1.262 GHz,-61.670
1.263 GHz,-61.685
1.263 GHz,-61.699
1.263 GHz,-61.714
1.264 GHz,-61.728
1.264 GHz,-61.743
1.264 GHz,-61.758
1.264 GHz,-61.772
1.265 GHz,-61.787
1.265 GHz,-61.801
1.265 GHz,-61.816
1.266 GHz,-61.831
1.266 GHz,-61.845
1.266 GHz,-61.860
1.266 GHz,-61.874
1.267 GHz,-61.889
1.267 GHz,-61.904
1.267 GHz,-61.918
1.267 GHz,-61.933
1.268 GHz,-61.947
1.268 GHz,-61.962
1.268 GHz,-61.977
1.269 GHz,-61.991
1.269 GHz,-62.006
1.269 GHz,-62.020
1.269 GHz,-62.035
1.270 GHz,-62.050
1.270 GHz,-62.064
1.270 GHz,-62.082
1.271 GHz,-62.101
1.271 GHz,-62.119
1.271 GHz,-62.137
1.271 GHz,-62.155
1.272 GHz,-62.173
1.272 GHz,-62.192
1.272 GHz,-62.210
1.273 GHz,-62.228
1.273 GHz,-62.246
1.273 GHz,-62.264
1.273 GHz,-62.283
1.274 GHz,-62.301
1.274 GHz,-62.319
1.274 GHz,-62.337
1.274 GHz,-62.355
1.275 GHz,-62.374
1.275 GHz,-62.392
1.275 GHz,-62.410
1.276 GHz,-62.428
1.276 GHz,-62.446
1.276 GHz,-62.465
1.276 GHz,-62.483
1.277 GHz,-62.501
1.277 GHz,-62.519
1.277 GHz,-62.537
1.278 GHz,-62.556
1.278 GHz,-62.574
1.278 GHz,-62.592
1.278 GHz,-62.610
1.279 GHz,-62.628
1.279 GHz,-62.647
1.279 GHz,-62.665
1.280 GHz,-62.683
1.280 GHz,-62.701
1.280 GHz,-62.718
1.280 GHz,-62.732
1.281 GHz,-62.746
1.281 GHz,-62.760
1.281 GHz,-62.775
1.282 GHz,-62.789
1.282 GHz,-62.803
1.282 GHz,-62.818
1.282 GHz,-62.832
1.283 GHz,-62.846
1.283 GHz,-62.861
1.283 GHz,-62.875
