"Vcc
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.Vout)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
3.200,207.0 psec,-28.78 mV
3.200,210.0 psec,-29.38 mV
3.200,213.0 psec,-29.63 mV
3.200,216.0 psec,-29.66 mV
3.200,219.0 psec,-29.59 mV
3.200,222.0 psec,-29.52 mV
3.200,225.0 psec,-29.56 mV
3.200,228.0 psec,-29.80 mV
3.200,231.0 psec,-30.31 mV
3.200,234.0 psec,-31.14 mV
3.200,237.0 psec,-32.32 mV
3.200,240.0 psec,-33.88 mV
3.200,243.0 psec,-35.81 mV
3.200,246.0 psec,-38.09 mV
3.200,249.0 psec,-40.71 mV
3.200,252.0 psec,-43.61 mV
3.200,255.0 psec,-46.75 mV
3.200,258.0 psec,-50.06 mV
3.200,261.0 psec,-53.47 mV
3.200,264.0 psec,-56.88 mV
3.200,267.0 psec,-60.23 mV
3.200,270.0 psec,-63.40 mV
3.200,273.0 psec,-66.30 mV
3.200,276.0 psec,-68.83 mV
3.200,279.0 psec,-70.92 mV
3.200,282.0 psec,-72.47 mV
3.200,285.0 psec,-73.42 mV
3.200,288.0 psec,-73.73 mV
3.200,291.0 psec,-73.37 mV
3.200,294.0 psec,-72.36 mV
3.200,297.0 psec,-70.71 mV
3.200,300.0 psec,-68.48 mV
3.200,303.0 psec,-65.74 mV
3.200,306.0 psec,-62.58 mV
3.200,309.0 psec,-59.10 mV
3.200,312.0 psec,-55.39 mV
3.200,315.0 psec,-51.57 mV
3.200,318.0 psec,-47.71 mV
3.200,321.0 psec,-43.91 mV
3.200,324.0 psec,-40.23 mV
3.200,327.0 psec,-36.72 mV
3.200,330.0 psec,-33.41 mV
3.200,333.0 psec,-30.32 mV
3.200,336.0 psec,-27.45 mV
3.200,339.0 psec,-24.82 mV
3.200,342.0 psec,-22.41 mV
3.200,345.0 psec,-20.21 mV
3.200,348.0 psec,-18.21 mV
3.200,351.0 psec,-16.40 mV
3.200,354.0 psec,-14.77 mV
3.200,357.0 psec,-13.31 mV
3.200,360.0 psec,-12.00 mV
3.200,363.0 psec,-10.84 mV
3.200,366.0 psec,-9.792 mV
3.200,369.0 psec,-8.847 mV
3.200,372.0 psec,-7.970 mV
3.200,375.0 psec,-7.127 mV
3.200,378.0 psec,-6.280 mV
3.200,381.0 psec,-5.388 mV
3.200,384.0 psec,-4.410 mV
3.200,387.0 psec,-3.307 mV
3.200,390.0 psec,-2.040 mV
3.200,393.0 psec,-574.2 uV
3.200,396.0 psec,1.121 mV
3.200,399.0 psec,3.077 mV
3.200,402.0 psec,5.321 mV
3.200,405.0 psec,7.883 mV
3.200,408.0 psec,10.79 mV
3.200,411.0 psec,14.08 mV
3.200,414.0 psec,17.78 mV
3.200,417.0 psec,21.92 mV
3.200,420.0 psec,26.53 mV
3.200,423.0 psec,31.63 mV
3.200,426.0 psec,37.22 mV
3.200,429.0 psec,43.29 mV
3.200,432.0 psec,49.81 mV
3.200,435.0 psec,56.70 mV
3.200,438.0 psec,63.87 mV
3.200,441.0 psec,71.21 mV
3.200,444.0 psec,78.54 mV
3.200,447.0 psec,85.71 mV
3.200,450.0 psec,92.52 mV
3.200,453.0 psec,98.76 mV
3.200,456.0 psec,104.2 mV
3.200,459.0 psec,108.8 mV
3.200,462.0 psec,112.2 mV
3.200,465.0 psec,114.4 mV
3.200,468.0 psec,115.3 mV
3.200,471.0 psec,114.8 mV
3.200,474.0 psec,112.9 mV
3.200,477.0 psec,109.7 mV
3.200,480.0 psec,105.1 mV
3.200,483.0 psec,99.45 mV
3.200,486.0 psec,92.73 mV
3.200,489.0 psec,85.13 mV
3.200,492.0 psec,76.84 mV
3.200,495.0 psec,68.03 mV
3.200,498.0 psec,58.89 mV
3.200,501.0 psec,49.59 mV
3.200,504.0 psec,40.32 mV
3.200,507.0 psec,31.24 mV
3.200,510.0 psec,22.49 mV
3.200,513.0 psec,14.21 mV
3.200,516.0 psec,6.511 mV
3.200,519.0 psec,-510.4 uV
3.200,522.0 psec,-6.782 mV
3.200,525.0 psec,-12.26 mV
3.200,528.0 psec,-16.91 mV
3.200,531.0 psec,-20.74 mV
3.200,534.0 psec,-23.78 mV
3.200,537.0 psec,-26.08 mV
3.200,540.0 psec,-27.72 mV
3.200,543.0 psec,-28.78 mV
3.200,546.0 psec,-29.38 mV
3.200,549.0 psec,-29.63 mV
3.200,552.0 psec,-29.66 mV
3.200,555.0 psec,-29.59 mV
3.200,558.0 psec,-29.52 mV
3.200,561.0 psec,-29.56 mV
3.200,564.0 psec,-29.80 mV
3.200,567.0 psec,-30.31 mV
3.200,570.0 psec,-31.14 mV
3.200,573.0 psec,-32.32 mV
3.200,576.0 psec,-33.88 mV
3.200,579.0 psec,-35.81 mV
3.200,582.0 psec,-38.09 mV
3.200,585.0 psec,-40.71 mV
3.200,588.0 psec,-43.61 mV
3.200,591.0 psec,-46.75 mV
3.200,594.0 psec,-50.06 mV
3.200,597.0 psec,-53.47 mV
3.200,600.0 psec,-56.88 mV
3.200,603.0 psec,-60.23 mV
3.200,606.0 psec,-63.40 mV
3.200,609.0 psec,-66.30 mV
3.200,612.0 psec,-68.83 mV
3.200,615.0 psec,-70.92 mV
3.200,618.0 psec,-72.47 mV
3.200,621.0 psec,-73.42 mV
3.200,624.0 psec,-73.73 mV
3.200,627.0 psec,-73.37 mV
3.200,630.0 psec,-72.36 mV
3.200,633.0 psec,-70.71 mV
3.200,636.0 psec,-68.48 mV
