"time
References : ['TRAN.Vout']
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real","TRAN.Vout
References : []
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real"
2.926 nsec,1.552 mV
2.931 nsec,1.594 mV
2.936 nsec,1.636 mV
2.941 nsec,1.679 mV
2.946 nsec,1.722 mV
2.951 nsec,1.764 mV
2.956 nsec,1.807 mV
2.961 nsec,1.850 mV
2.966 nsec,1.894 mV
2.971 nsec,1.937 mV
2.976 nsec,1.980 mV
2.981 nsec,2.024 mV
2.986 nsec,2.067 mV
2.991 nsec,2.111 mV
2.996 nsec,2.155 mV
3.001 nsec,2.198 mV
3.006 nsec,2.242 mV
3.011 nsec,2.286 mV
3.016 nsec,2.330 mV
3.021 nsec,2.374 mV
3.026 nsec,2.418 mV
3.031 nsec,2.462 mV
3.036 nsec,2.506 mV
3.041 nsec,2.550 mV
3.046 nsec,2.594 mV
3.051 nsec,2.638 mV
3.056 nsec,2.682 mV
3.061 nsec,2.725 mV
3.066 nsec,2.769 mV
3.071 nsec,2.813 mV
3.076 nsec,2.857 mV
3.081 nsec,2.900 mV
3.086 nsec,2.944 mV
3.091 nsec,2.987 mV
3.096 nsec,3.030 mV
3.101 nsec,3.073 mV
3.106 nsec,3.115 mV
3.111 nsec,3.158 mV
3.116 nsec,3.200 mV
3.121 nsec,3.242 mV
3.126 nsec,3.283 mV
3.131 nsec,3.324 mV
3.136 nsec,3.365 mV
3.141 nsec,3.406 mV
3.146 nsec,3.445 mV
3.151 nsec,3.485 mV
3.156 nsec,3.524 mV
3.161 nsec,3.562 mV
3.166 nsec,3.600 mV
3.171 nsec,3.638 mV
3.176 nsec,3.674 mV
3.181 nsec,3.710 mV
3.186 nsec,3.746 mV
3.191 nsec,3.781 mV
3.196 nsec,3.815 mV
3.201 nsec,3.848 mV
3.206 nsec,3.881 mV
3.211 nsec,3.913 mV
3.216 nsec,3.944 mV
3.221 nsec,3.974 mV
3.226 nsec,4.003 mV
3.231 nsec,4.032 mV
3.236 nsec,4.060 mV
3.241 nsec,4.087 mV
3.246 nsec,4.113 mV
3.251 nsec,4.138 mV
3.256 nsec,4.162 mV
3.261 nsec,4.185 mV
3.266 nsec,4.208 mV
3.271 nsec,4.229 mV
3.276 nsec,4.250 mV
3.281 nsec,4.269 mV
3.286 nsec,4.288 mV
3.291 nsec,4.306 mV
3.296 nsec,4.323 mV
3.301 nsec,4.339 mV
3.306 nsec,4.354 mV
3.311 nsec,4.368 mV
3.316 nsec,4.381 mV
3.321 nsec,4.394 mV
3.326 nsec,4.405 mV
3.331 nsec,4.416 mV
3.336 nsec,4.425 mV
3.341 nsec,4.434 mV
3.346 nsec,4.442 mV
3.351 nsec,4.449 mV
3.356 nsec,4.456 mV
3.361 nsec,4.461 mV
3.366 nsec,4.466 mV
3.371 nsec,4.470 mV
3.376 nsec,4.473 mV
3.381 nsec,4.475 mV
3.386 nsec,4.476 mV
3.391 nsec,4.477 mV
3.396 nsec,4.477 mV
3.401 nsec,4.476 mV
3.406 nsec,4.474 mV
3.411 nsec,4.471 mV
3.416 nsec,4.468 mV
3.421 nsec,4.464 mV
3.426 nsec,4.459 mV
3.431 nsec,4.453 mV
3.436 nsec,4.446 mV
3.441 nsec,4.439 mV
3.446 nsec,4.431 mV
3.451 nsec,4.422 mV
3.456 nsec,4.412 mV
3.461 nsec,4.402 mV
3.466 nsec,4.390 mV
3.471 nsec,4.378 mV
3.476 nsec,4.365 mV
3.481 nsec,4.351 mV
3.486 nsec,4.336 mV
3.491 nsec,4.321 mV
3.496 nsec,4.304 mV
3.501 nsec,4.287 mV
3.506 nsec,4.269 mV
3.511 nsec,4.250 mV
3.516 nsec,4.230 mV
3.521 nsec,4.209 mV
3.526 nsec,4.187 mV
3.531 nsec,4.165 mV
3.536 nsec,4.141 mV
3.541 nsec,4.117 mV
3.546 nsec,4.092 mV
3.551 nsec,4.066 mV
3.556 nsec,4.039 mV
3.561 nsec,4.011 mV
3.566 nsec,3.982 mV
3.571 nsec,3.953 mV
3.576 nsec,3.922 mV
3.581 nsec,3.891 mV
3.586 nsec,3.859 mV
3.591 nsec,3.826 mV
3.596 nsec,3.793 mV
3.601 nsec,3.758 mV
3.606 nsec,3.723 mV
3.611 nsec,3.687 mV
3.616 nsec,3.651 mV
3.621 nsec,3.613 mV
3.626 nsec,3.576 mV
3.631 nsec,3.537 mV
3.636 nsec,3.498 mV
3.641 nsec,3.458 mV
3.646 nsec,3.418 mV
3.651 nsec,3.377 mV
3.656 nsec,3.336 mV
3.661 nsec,3.294 mV
3.666 nsec,3.251 mV
3.671 nsec,3.209 mV
3.676 nsec,3.166 mV
3.681 nsec,3.122 mV
3.686 nsec,3.078 mV
3.691 nsec,3.034 mV
3.696 nsec,2.990 mV
3.701 nsec,2.945 mV
3.706 nsec,2.900 mV
3.711 nsec,2.855 mV
