"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.198 GHz,-135.933
1.198 GHz,-135.928
1.199 GHz,-135.923
1.199 GHz,-135.919
1.199 GHz,-135.913
1.199 GHz,-135.908
1.200 GHz,-135.902
1.200 GHz,-135.896
1.200 GHz,-135.889
1.201 GHz,-135.883
1.201 GHz,-135.876
1.201 GHz,-135.870
1.201 GHz,-135.863
1.202 GHz,-135.857
1.202 GHz,-135.850
1.202 GHz,-135.844
1.202 GHz,-135.837
1.203 GHz,-135.831
1.203 GHz,-135.824
1.203 GHz,-135.817
1.204 GHz,-135.810
1.204 GHz,-135.804
1.204 GHz,-135.797
1.204 GHz,-135.790
1.205 GHz,-135.783
1.205 GHz,-135.776
1.205 GHz,-135.768
1.206 GHz,-135.761
1.206 GHz,-135.754
1.206 GHz,-135.746
1.206 GHz,-135.739
1.207 GHz,-135.731
1.207 GHz,-135.723
1.207 GHz,-135.716
1.208 GHz,-135.708
1.208 GHz,-135.700
1.208 GHz,-135.691
1.208 GHz,-135.683
1.209 GHz,-135.675
1.209 GHz,-135.666
1.209 GHz,-135.657
1.210 GHz,-135.648
1.210 GHz,-135.639
1.210 GHz,-135.630
1.210 GHz,-135.621
1.211 GHz,-135.611
1.211 GHz,-135.601
1.211 GHz,-135.591
1.212 GHz,-135.580
1.212 GHz,-135.570
1.212 GHz,-135.559
1.212 GHz,-135.548
1.213 GHz,-135.537
1.213 GHz,-135.525
1.213 GHz,-135.514
1.213 GHz,-135.502
1.214 GHz,-135.491
1.214 GHz,-135.479
1.214 GHz,-135.467
1.215 GHz,-135.455
1.215 GHz,-135.444
1.215 GHz,-135.432
1.215 GHz,-135.420
1.216 GHz,-135.408
1.216 GHz,-135.396
1.216 GHz,-135.384
1.217 GHz,-135.373
1.217 GHz,-135.361
1.217 GHz,-135.350
1.217 GHz,-135.338
1.218 GHz,-135.327
