"Vcc
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.Vout)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
5.200,658.0 psec,-87.88 mV
5.200,661.0 psec,-83.98 mV
5.200,664.0 psec,-79.85 mV
5.200,667.0 psec,-75.62 mV
5.200,670.0 psec,-71.39 mV
5.200,673.0 psec,-67.29 mV
5.300,0.0000 sec,-69.07 mV
5.300,3.005 psec,-65.05 mV
5.300,6.009 psec,-61.33 mV
5.300,9.014 psec,-57.97 mV
5.300,12.02 psec,-55.01 mV
5.300,15.02 psec,-52.49 mV
5.300,18.03 psec,-50.40 mV
5.300,21.03 psec,-48.75 mV
5.300,24.04 psec,-47.49 mV
5.300,27.04 psec,-46.60 mV
5.300,30.05 psec,-46.02 mV
5.300,33.05 psec,-45.70 mV
5.300,36.06 psec,-45.55 mV
5.300,39.06 psec,-45.52 mV
5.300,42.07 psec,-45.50 mV
5.300,45.07 psec,-45.42 mV
5.300,48.07 psec,-45.18 mV
5.300,51.08 psec,-44.70 mV
5.300,54.08 psec,-43.88 mV
5.300,57.09 psec,-42.65 mV
